river_code,river_name,parent_code,parent_name,basin_name,stream_order,is_civilian,topology_path,source_type,waterway_type,description,has_osm_geo,wikidata_id,meta_data
114021,南勢溪,114020,新店溪,淡水河,3,0,0@114000@114020@114021,WRA,river,通霄溪官方水系,0,Q667308,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402A,桶後溪,114021,南勢溪,淡水河,4,0,0@114000@114020@114021@11402A,WRA,river,南勢溪重要支流，烏來老街附近匯入，生態原始，現有桶後越嶺古道,0,Q11113632,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402P,軋孔溪,114021,南勢溪,淡水河,4,0,0@114000@114020@114021@11402P,WRA,river,南勢溪二級支流,0,Q106236666,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
11402Q,大羅蘭溪,114021,南勢溪,淡水河,4,0,0@114000@114020@114021@11402Q,WRA,river,南勢溪二級支流，位於福山部落附近,0,Q32718588,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C01,加九寮溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C01,Wiki,stream,南勢溪左岸支流，紅河谷步道旁溪谷，具原始生態、蝴蝶資源與天然划水道,0,2026-06-24,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C02,給里瀨溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C02,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C03,內洞溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C03,Wiki,stream,南勢溪支流，內洞森林遊樂區三疊瀑布之水源，陰濕微氣候蕨類繁茂,0,2026-06-24,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""未定縣市"", ""primary_county_code"": ""00000"", ""is_border_river"": false, ""border_counties"": [], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Unassigned_Fallback"", ""county_derivation_tier"": ""Tier_4_Fallback"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114021-C04,卡拉莫基溪,114021,南勢溪,淡水河,4,1,0@114000@114020@114021@114021-C04,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114020-C02,磺窟溪,114020,新店溪,淡水河,3,1,0@114000@114020@114020-C02,Wiki,stream,淡水河水系民間支流,0,,"{""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
114023-C01,小坑溪,114023,景美溪,淡水河,4,1,0@114000@114020@114023@114023-C01,Wiki,stream,淡水河水系民間支流,0,,"{""raw_river_name"": ""小坑溪"", ""code_status"": ""draft"", ""deprecated_codes"": [], ""replaced_by"": """", ""river_office_id"": ""10"", ""river_office_name"": ""第十河川分署"", ""office_valid_counties"": [""基隆市"", ""臺北市"", ""新北市""], ""has_outfall_gps"": false, ""outfall_lon"": null, ""outfall_lat"": null, ""primary_county"": ""新北市"", ""primary_county_code"": ""65000"", ""is_border_river"": false, ""border_counties"": [""新北市""], ""arbitration_rule"": ""Right_Bank_Outfall"", ""county_assignment_reason"": ""Locality_Keyword_Match (從傳統鄉鎮/地名關鍵字 '淡水' 推導至 新北市)"", ""county_derivation_tier"": ""Tier_3_Locality_Keyword_Match"", ""is_office_county_matched"": true, ""provenance"": {""last_updated"": ""2026-09-04""}}"
